xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y
34,148,125,212,98.13010235415598,7.327000141143799,49,253,-28,157,-43,53,-13,262,81,35,111,245
33,147,126,209,97.59464336859143,8.098999977111816,47,252,-29,156,-43,52,-15,261,82,35,110,243
33,146,124,208,98.28579702395375,7.694000244140625,48,249,-28,155,-43,52,-13,258,81,34,110,240
34,147,124,208,97.74034115883792,0.0,48,250,-27,156,-42,53,-13,259,81,35,110,241
34,147,122,209,97.66680426181418,0.0,48,251,-26,156,-41,52,-12,260,81,35,109,243
34,147,122,206,97.19347005529553,0.0,47,250,-26,155,-40,53,-13,258,81,37,108,242
280,377,106,206,73.14160123226172,0.4220000207424164,250,476,229,362,259,263,199,461,362,295,301,492
34,148,135,198,98.6156481841641,0.0,49,247,-32,158,-47,59,-18,257,88,40,116,237
34,147,132,196,98.79054318281395,0.0,49,244,-31,157,-46,60,-16,255,85,40,115,234
282,377,102,204,71.21137801783152,0.4220000207424164,249,474,234,361,267,264,201,458,364,297,298,491
33,144,124,205,99.0017551225613,5.545000076293945,49,245,-28,154,-44,53,-12,255,79,33,111,236
283,377,100,202,72.10386707496076,0.4220000207424164,252,473,235,362,267,266,204,458,363,297,300,489
36,146,131,195,97.6333305872313,4.663000106811523,49,243,-28,155,-41,58,-16,252,88,41,114,235
280,379,100,204,69.96898731910227,0.4180000126361847,245,475,233,362,269,266,198,458,363,301,292,493
34,144,122,205,98.3658861240326,4.8460001945495605,49,246,-26,154,-42,52,-11,256,79,34,110,237
275,379,98,203,63.18365315571305,0.4180000126361847,229,470,231,357,278,266,185,448,366,312,273,493
34,144,123,204,99.0017551225613,0.0,50,245,-26,154,-42,53,-11,255,80,34,111,236
280,377,105,209,68.60710964801855,0.42100003361701965,242,474,231,358,269,261,193,455,368,299,291,494
35,145,122,205,97.8917024282357,5.087000370025635,49,246,-25,153,-40,52,-11,255,81,35,110,238
274,378,108,206,64.68031308969036,0.42000001668930054,230,471,225,355,269,262,181,448,367,308,279,495
35,145,123,206,98.3658861240326,4.735000133514404,50,247,-25,154,-40,52,-11,256,82,34,111,238
279,376,111,207,70.86635679409451,0.4230000078678131,245,474,227,358,261,260,193,456,366,297,298,493
35,145,123,203,97.8917024282357,4.964000225067139,49,246,-25,153,-39,52,-12,255,82,36,110,238
36,144,121,204,98.44752724790847,4.493000030517578,51,245,-24,153,-39,52,-9,254,81,34,111,236
36,144,120,204,98.44752724790847,4.076000213623047,51,245,-23,153,-39,53,-8,254,80,34,111,236
